sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-04_14:49:16_989 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
188,1690700724,-12.666493,-5.932620,-13.956412,161.732819,227.885895,-51.198387,0.093821,0.325460,0.939448,-0.052063,
189,1690717391,-15.254027,8.810225,-14.376582,269.182983,98.040298,-84.102745,0.066994,0.318066,0.941876,-0.084949,
190,1690734058,-12.743864,11.134877,-15.807478,-56.236156,166.232727,-77.239510,0.045954,0.308864,0.947419,-0.069921,
191,1690750725,-6.403220,2.537851,-12.310184,-140.478333,198.961838,-65.712097,0.024322,0.300691,0.952501,-0.041647,
192,1690767392,-0.860683,-2.837776,-15.051603,-40.698292,184.771011,-63.968506,0.000290,0.292689,0.955804,-0.027773,
193,1690784059,3.635420,-2.979121,-18.893372,78.030609,135.029465,-68.028412,-0.021907,0.283712,0.958108,-0.032522,
194,1690800726,3.554735,-0.505596,-21.336550,80.970932,66.460327,-60.089764,-0.034641,0.275377,0.959857,-0.040535,
195,1690817393,1.458086,-0.369735,-22.487560,-3.893841,-6.351006,-36.333199,-0.033673,0.270311,0.961364,-0.039733,
196,1690834060,-1.731728,-2.889833,-21.674736,-50.123436,-68.040161,-10.561871,-0.022106,0.268693,0.962335,-0.035017,
197,1690850727,-4.608778,-4.536858,-18.588947,-29.073278,-110.809677,7.691615,-0.005271,0.269287,0.962410,-0.034981,
198,1690867394,-6.875483,-3.931724,-14.489640,-4.138704,-130.561737,22.246574,0.013439,0.271712,0.961485,-0.039225,
199,1690884061,-7.334458,-2.854244,-10.898337,-6.357151,-132.465530,37.457241,0.032598,0.276144,0.959591,-0.043203,
